occurrence_id,context_id,selected_word,source_file,sentence_index,match_index_in_sentence,target_text,target_start,target_end,previous_sentence,sentence_text,next_sentence,context,context_word_count,cluster_id,weak_label,weak_label_reason,model_text,split,predicted_label,prediction_probability
1565,A07594__Circle_of_Commerce:642,trade,A07594__Circle_of_Commerce.txt,642,2,Trade,350,355,"And for want of matter, he here maligneth the Merchants-Adventurers;","and accuſeth them to be guiltie of the Vnder-ballancing of Trade, by ſelling the Cloth and other the natiue Commodities cheape, and bringing in Silks, Linnen cloth, Cambricks, Lawnes, and other Commodities deare, whereby the ſtrangers Scale is made the heavier, in the Ballance of Trade.","Which is a moſt vniuſt and ſcandalous aſperſion laid on ſo worthy a Company, by ſo vnworthy a Perſon.","And for want of matter, he here maligneth the Merchants-Adventurers; and accuſeth them to be guiltie of the Vnder-ballancing of Trade, by ſelling the Cloth and other the natiue Commodities cheape, and bringing in Silks, Linnen cloth, Cambricks, Lawnes, and other Commodities deare, whereby the ſtrangers Scale is made the heavier, in the Ballance of Trade. Which is a moſt vniuſt and ſcandalous aſperſion laid on ſo worthy a Company, by ſo vnworthy a Perſon.",75,3,commercial_exchange,"commodities, company, merchants","and for want of matter, he here maligneth the -adventurers; and accuſeth them to be guiltie of the vnder-ballancing of , by ſelling the cloth and other the natiue cheape, and bringing in silks, linnen cloth, cambricks, lawnes, and other deare, whereby the ſtrangers scale is made the heavier, in the ballance of . which is a moſt vniuſt and ſcandalous aſperſion laid on ſo worthy a , by ſo vnworthy a perſon.",train,commercial_exchange,0.7008668915487033
2552,A10821:618,trade,A10821.txt,618,1,Trade,621,626,"and therefore from the universall knowledge of Maps that pointeth out the generall divisions of the World, I will come to the particulars comprised therein, and view the subdi∣visions thereof, as Potencie, Might and Soveraigntie have prescribed rules thereunto.","This World then, consisting as I noted before of foure princi∣pall parts, and every part consisting of severall Empires, King∣domes and Provinces in which many commodities both naturall and artificiall are found fit for Commerce, and traffique, and also wherein are noted to bee divers eminent Cities and Townes of great concourse, of Shipping, Merchants and Trade;","which Trade is maintained and driven by the said Commodities and Wares, and by the naturall inclination of Mankind to inrich themselves by, Invention, and Time;","and therefore from the universall knowledge of Maps that pointeth out the generall divisions of the World, I will come to the particulars comprised therein, and view the subdi∣visions thereof, as Potencie, Might and Soveraigntie have prescribed rules thereunto. This World then, consisting as I noted before of foure princi∣pall parts, and every part consisting of severall Empires, King∣domes and Provinces in which many commodities both naturall and artificiall are found fit for Commerce, and traffique, and also wherein are noted to bee divers eminent Cities and Townes of great concourse, of Shipping, Merchants and Trade; which Trade is maintained and driven by the said Commodities and Wares, and by the naturall inclination of Mankind to inrich themselves by, Invention, and Time;",122,0,commercial_exchange,"commerce, commodities, merchants, shipping, traffique","and therefore from the universall knowledge of maps that pointeth out the generall divisions of the world, i will come to the particulars comprised therein, and view the subdi∣visions thereof, as potencie, might and soveraigntie have prescribed rules thereunto. this world then, consisting as i noted before of foure princi∣pall parts, and every part consisting of severall empires, king∣domes and provinces in which many both naturall and artificiall are found fit for , and , and also wherein are noted to bee divers eminent cities and townes of great concourse, of , and ; which is maintained and driven by the said and wares, and by the naturall inclination of mankind to inrich themselves by, invention, and time;",test,commercial_exchange,0.6590375343263082
7346,Wealth_Nations:26716,trade,Wealth_Nations.txt,26716,1,trade,72,77,engrossed to herself almost the whole of what may be called the foreign,"trade of the colonies, and her capital not having increased in the same","proportion as the extent of that trade, she could not carry it on without","engrossed to herself almost the whole of what may be called the foreign trade of the colonies, and her capital not having increased in the same proportion as the extent of that trade, she could not carry it on without",40,1,commercial_exchange,foreign,"engrossed to herself almost the whole of what may be called the of the colonies, and her capital not having increased in the same proportion as the extent of that , she could not carry it on without",train,commercial_exchange,0.6339716837750325
6765,B14801__Free_Trade:1091,trade,B14801__Free_Trade.txt,1091,1,trade,217,222,"And I am perswaded, that euery good man would be willing, either to giue, or to lend, toward the raising of a stocke of Money for this purpose.","For Litigious suits of Law, if men bestowed halfe that study and cost in trade, which now adaies is spent in temerous and rash suits of Law;","surely the benefite that thence would arise to the Common-wealth, would equall or exceede in value, that which is spent in Law, which I thinke cannot be valued.","And I am perswaded, that euery good man would be willing, either to giue, or to lend, toward the raising of a stocke of Money for this purpose. For Litigious suits of Law, if men bestowed halfe that study and cost in trade, which now adaies is spent in temerous and rash suits of Law; surely the benefite that thence would arise to the Common-wealth, would equall or exceede in value, that which is spent in Law, which I thinke cannot be valued.",83,3,commercial_exchange,money,"and i am perswaded, that euery good man would be willing, either to giue, or to lend, toward the raising of a stocke of for this purpose. for litigious suits of law, if men bestowed halfe that study and cost in , which now adaies is spent in temerous and rash suits of law; surely the benefite that thence would arise to the common-wealth, would equall or exceede in value, that which is spent in law, which i thinke cannot be valued.",train,commercial_exchange,0.5212505739493709
3672,A11649:140894,trade,A11649.txt,140894,1,trade,120,125,"Rejoyce Zabulon] that is, God so blesse thee, as thou maist have cause to rejoyce in thy prosperitie.",thy going out] to trade in merchandise by ship∣ping;,"for Zabulon, by Iakobs blessing, was to dwell at the haven of the Seas, &c.","Rejoyce Zabulon] that is, God so blesse thee, as thou maist have cause to rejoyce in thy prosperitie. thy going out] to trade in merchandise by ship∣ping; for Zabulon, by Iakobs blessing, was to dwell at the haven of the Seas, &c.",42,3,commercial_exchange,"merchandise, ship","rejoyce zabulon] that is, god so blesse thee, as thou maist have cause to rejoyce in thy prosperitie. thy going out] to in by ∣ping; for zabulon, by iakobs blessing, was to dwell at the haven of the seas, &c.",train,commercial_exchange,0.5041729388536316
5202,A68617:11946,trade,A68617.txt,11946,1,trade,406,411,to heave at our cap-staynes and by God great mercy she go off to all our comfort the nineteen come two boat from the shore send by master Femell for iron which I cause they to fetch from the darling I write to master femell not to send for any more good aland for that I will see sale of those he have already before I will depart with any more I receive a letter from master Femell if that,I mind to have trade I must come aland according to the custom of the place otherwise they will not be persuade but that we be man of war likewise the Aga send our interpreter to i to entreat i to come aland if I be a merchant and friend to the great Turk and hope for trade allege that captain Sharpeigh and all the indian captain do the like the twenty I go aland I be receive at the,water side by diverse chief man and with music bring to the house where be assemble all the chief man of the town my entertainment by the aga and the rest be with extraordinary great kindness I be seat close to the aga all man else stand where he hold i with compliment many time bid i welcome offer himself and the country to be at my service I deliver his majesty letter with a present to the Basba which,to heave at our cap-staynes and by God great mercy she go off to all our comfort the nineteen come two boat from the shore send by master Femell for iron which I cause they to fetch from the darling I write to master femell not to send for any more good aland for that I will see sale of those he have already before I will depart with any more I receive a letter from master Femell if that I mind to have trade I must come aland according to the custom of the place otherwise they will not be persuade but that we be man of war likewise the Aga send our interpreter to i to entreat i to come aland if I be a merchant and friend to the great Turk and hope for trade allege that captain Sharpeigh and all the indian captain do the like the twenty I go aland I be receive at the water side by diverse chief man and with music bring to the house where be assemble all the chief man of the town my entertainment by the aga and the rest be with extraordinary great kindness I be seat close to the aga all man else stand where he hold i with compliment many time bid i welcome offer himself and the country to be at my service I deliver his majesty letter with a present to the Basba which,240,3,commercial_exchange,merchant,to heave at our cap-staynes and by god great mercy she go off to all our comfort the nineteen come two boat from the shore send by master femell for iron which i cause they to fetch from the darling i write to master femell not to send for any more good aland for that i will see sale of those he have already before i will depart with any more i receive a letter from master femell if that i mind to have i must come aland according to the custom of the place otherwise they will not be persuade but that we be man of war likewise the aga send our interpreter to i to entreat i to come aland if i be a and friend to the great turk and hope for allege that captain sharpeigh and all the indian captain do the like the twenty i go aland i be receive at the water side by diverse chief man and with music bring to the house where be assemble all the chief man of the town my entertainment by the aga and the rest be with extraordinary great kindness i be seat close to the aga all man else stand where he hold i with compliment many time bid i welcome offer himself and the country to be at my service i deliver his majesty letter with a present to the basba which,train,commercial_exchange,0.6121469323606923
1193,A06786:5184,trade,A06786.txt,5184,1,trade,271,276,"The old Romanes (when moneys were first made of Copper, and then Siluer, and before Golden coynes were made) had appointed a place,Mensa Argentaria.","called Mensa Argentaria, where they lent moneys vpon commodities for a reasonable consideration, to aduance trafficke and trade, which (in comparison of ours) was but in his infancie, and therefore to be left now to the mercie of monyed men (without other prouision by authoritie to supplie mens occasions) seemeth to be impertinent, especially when moneys are not plentifull.","Hauing hetherto treated of buying and selling, and the dependancies thereupon, now wee are to speake of receiuing and paying by moneys, and of the manner of Merchants dealings therein.","The old Romanes (when moneys were first made of Copper, and then Siluer, and before Golden coynes were made) had appointed a place,Mensa Argentaria. called Mensa Argentaria, where they lent moneys vpon commodities for a reasonable consideration, to aduance trafficke and trade, which (in comparison of ours) was but in his infancie, and therefore to be left now to the mercie of monyed men (without other prouision by authoritie to supplie mens occasions) seemeth to be impertinent, especially when moneys are not plentifull. Hauing hetherto treated of buying and selling, and the dependancies thereupon, now wee are to speake of receiuing and paying by moneys, and of the manner of Merchants dealings therein.",113,3,commercial_exchange,"commodities, merchants","the old romanes (when moneys were first made of copper, and then siluer, and before golden coynes were made) had appointed a place,mensa argentaria. called mensa argentaria, where they lent moneys vpon for a reasonable consideration, to aduance trafficke and , which (in comparison of ours) was but in his infancie, and therefore to be left now to the mercie of monyed men (without other prouision by authoritie to supplie mens occasions) seemeth to be impertinent, especially when moneys are not plentifull. hauing hetherto treated of buying and selling, and the dependancies thereupon, now wee are to speake of receiuing and paying by moneys, and of the manner of dealings therein.",train,commercial_exchange,0.6400403641633582
3612,A10821:14476,trade,A10821.txt,14476,2,trade,725,730,"and here likewise all other forraigne nations give willingly place to the English, as the prime and principall Mer∣chants that either abide amongst them, or negotiate with them.","I need not to insist here upon the reliques of that famous Barbary trade, nor yet mention the petty adventures of the English to Guyny and Benny, though that otherwise they are concurrent to the traffick of this nation, neither need I nominate the homeland commerce of this kingdome to Scotland and Ireland, neither goe a∣bout to particularise the large traffique of this Iland to their late Plantations of New found land, Sommer Ilands, Virginia, Barba∣dos, and new England, and to other places which rightly challenge an interest in the present trade and traffique of this kingdome.","Therfore omitting what may be further said in this point, and having thus survayed the trade of this Iland in the particular, and shewed the commodities exported and imported by every no∣ted Company and Societie, I shall now speake a word concer∣ning the Navigation of this Nation, which is one of the maine and principall meanes by which this traffique is observed to be preserved unto them at this day.","and here likewise all other forraigne nations give willingly place to the English, as the prime and principall Mer∣chants that either abide amongst them, or negotiate with them. I need not to insist here upon the reliques of that famous Barbary trade, nor yet mention the petty adventures of the English to Guyny and Benny, though that otherwise they are concurrent to the traffick of this nation, neither need I nominate the homeland commerce of this kingdome to Scotland and Ireland, neither goe a∣bout to particularise the large traffique of this Iland to their late Plantations of New found land, Sommer Ilands, Virginia, Barba∣dos, and new England, and to other places which rightly challenge an interest in the present trade and traffique of this kingdome. Therfore omitting what may be further said in this point, and having thus survayed the trade of this Iland in the particular, and shewed the commodities exported and imported by every no∣ted Company and Societie, I shall now speake a word concer∣ning the Navigation of this Nation, which is one of the maine and principall meanes by which this traffique is observed to be preserved unto them at this day.",195,0,commercial_exchange,"commerce, commodities, company, traffick, traffique","and here likewise all other forraigne nations give willingly place to the english, as the prime and principall mer∣chants that either abide amongst them, or negotiate with them. i need not to insist here upon the reliques of that famous barbary , nor yet mention the petty adventures of the english to guyny and benny, though that otherwise they are concurrent to the of this nation, neither need i nominate the homeland of this kingdome to scotland and ireland, neither goe a∣bout to particularise the large of this iland to their late plantations of new found land, sommer ilands, virginia, barba∣dos, and new england, and to other places which rightly challenge an interest in the present and of this kingdome. therfore omitting what may be further said in this point, and having thus survayed the of this iland in the particular, and shewed the exported and imported by every no∣ted and societie, i shall now speake a word concer∣ning the navigation of this nation, which is one of the maine and principall meanes by which this is observed to be preserved unto them at this day.",train,commercial_exchange,0.6595065240482072
7583,Wealth_Nations:30707,trade,Wealth_Nations.txt,30707,1,trade,34,39,ships of foreign nations.,"Foreign trade, therefore, is, in China, every",way confined within a much narrower circle than that to which it would,"ships of foreign nations. Foreign trade, therefore, is, in China, every way confined within a much narrower circle than that to which it would",24,2,commercial_exchange,foreign,"ships of nations. , therefore, is, in china, every way confined within a much narrower circle than that to which it would",test,commercial_exchange,0.545392009185089
5464,A68617:15521,trade,A68617.txt,15521,1,trade,468,473,not force we to join with the portugal against they which prove a kind of confirm the jesuit former report from the viceroy as altogether make against we likewise he forbid all trade with our people aboard which at first we likewise think have proceed out of his troublesome humour to cross we but afterward we be advise the contrary by Thomas kerridge his letter who declare that he and all seaport governor have express commandment from the mogoll not,to suffer any trade with we till they have make choice of all strange thing that we bring and they to buy they for the king use and to send it unto he the three I call a council concern our business viz.,how far we may proceed in their aid against the portugal and examine our commission in that point also we appoint the merchant for the several place of employment aswell those that be to stay here as those also that be to proceed on the voyage the good that be at surat of the twelve voyage come aboard which be of indigo sixty Bales and Cotton yarn eleven pack the sixteenth whereas my desire be to have be ashore among,not force we to join with the portugal against they which prove a kind of confirm the jesuit former report from the viceroy as altogether make against we likewise he forbid all trade with our people aboard which at first we likewise think have proceed out of his troublesome humour to cross we but afterward we be advise the contrary by Thomas kerridge his letter who declare that he and all seaport governor have express commandment from the mogoll not to suffer any trade with we till they have make choice of all strange thing that we bring and they to buy they for the king use and to send it unto he the three I call a council concern our business viz. how far we may proceed in their aid against the portugal and examine our commission in that point also we appoint the merchant for the several place of employment aswell those that be to stay here as those also that be to proceed on the voyage the good that be at surat of the twelve voyage come aboard which be of indigo sixty Bales and Cotton yarn eleven pack the sixteenth whereas my desire be to have be ashore among,203,2,commercial_exchange,merchant,not force we to join with the portugal against they which prove a kind of confirm the jesuit former report from the viceroy as altogether make against we likewise he forbid all with our people aboard which at first we likewise think have proceed out of his troublesome humour to cross we but afterward we be advise the contrary by thomas kerridge his letter who declare that he and all seaport governor have express commandment from the mogoll not to suffer any with we till they have make choice of all strange thing that we bring and they to buy they for the king use and to send it unto he the three i call a council concern our business viz. how far we may proceed in their aid against the portugal and examine our commission in that point also we appoint the for the several place of employment aswell those that be to stay here as those also that be to proceed on the voyage the good that be at surat of the twelve voyage come aboard which be of indigo sixty bales and cotton yarn eleven pack the sixteenth whereas my desire be to have be ashore among,train,commercial_exchange,0.6372223477911134
