occurrence_id,context_id,selected_word,source_file,sentence_index,match_index_in_sentence,target_text,target_start,target_end,previous_sentence,sentence_text,next_sentence,context,context_word_count,cluster_id,weak_label,weak_label_reason,model_text,split,predicted_label,prediction_probability
1555,A07594__Circle_of_Commerce:266,trade,A07594__Circle_of_Commerce.txt,266,1,trade,148,153,"His time and charges if hee hath ſpent any, are more likely to haue beene ſpent in proling Proiects:",and I wiſh all were ſo ſerv'd that follow that trade.,Nay will you heare him what he ſayes of the whole Kingdome?,"His time and charges if hee hath ſpent any, are more likely to haue beene ſpent in proling Proiects: and I wiſh all were ſo ſerv'd that follow that trade. Nay will you heare him what he ſayes of the whole Kingdome?",42,3,occupation_or_craft,follow,"his time and charges if hee hath ſpent any, are more likely to haue beene ſpent in proling proiects: and i wiſh all were ſo ſerv'd that that . nay will you heare him what he ſayes of the whole kingdome?",test,commercial_exchange,0.5007102893028941
4866,A17958:6228,trade,A17958.txt,6228,1,trade,590,595,"brethren, and possesseth sundry large priuiledges ouer the whole hauen, to wit, an yeerely rent of boates and barges appertayning to the harbour, ancorage of strange shipping, crowning of dead persons, laying of arrests, and other Admirall rights, besides electing of Burgesses for the Parliaments, benefit of the passage, foreclosing all others, saue themselues, from dredging of Oysters, except betweene Candlemas and Easter, weckely markets, halfe-yeerely fayres, &c.","The towne is of late yeeres well encreased and ador∣ned with buildings, & the townsmen addict themselues to the honest trade of marchandise, which endoweth them with a competent wealth.",Some 7.,"brethren, and possesseth sundry large priuiledges ouer the whole hauen, to wit, an yeerely rent of boates and barges appertayning to the harbour, ancorage of strange shipping, crowning of dead persons, laying of arrests, and other Admirall rights, besides electing of Burgesses for the Parliaments, benefit of the passage, foreclosing all others, saue themselues, from dredging of Oysters, except betweene Candlemas and Easter, weckely markets, halfe-yeerely fayres, &c. The towne is of late yeeres well encreased and ador∣ned with buildings, & the townsmen addict themselues to the honest trade of marchandise, which endoweth them with a competent wealth. Some 7.",100,0,commercial_exchange,shipping,"brethren, and possesseth sundry large priuiledges ouer the whole hauen, to wit, an yeerely rent of boates and barges appertayning to the harbour, ancorage of strange , crowning of dead persons, laying of arrests, and other admirall rights, besides electing of burgesses for the parliaments, benefit of the passage, foreclosing all others, saue themselues, from dredging of oysters, except betweene candlemas and easter, weckely markets, halfe-yeerely fayres, &c. the towne is of late yeeres well encreased and ador∣ned with buildings, & the townsmen addict themselues to the honest of marchandise, which endoweth them with a competent wealth. some 7.",test,occupation_or_craft,0.5066162218192347
4583,A16286:1154,trade,A16286.txt,1154,1,trade,311,316,"had taken Arabia, and had possession thereof, hee sent a Ship load of Frankincense to the Noble man, and bad him serve the Gods plentifully, and not offer Incense miserably.","Mahumet born in Arabia.This is that Countrey wherein Mahumet was borne, who being of meane parentage, was brought up in his youth in the trade of Merchandize;","but afterward joyning himselfe with Theeves and Robbers, his life was to rob such Merchants as passed thorow Arabia;","had taken Arabia, and had possession thereof, hee sent a Ship load of Frankincense to the Noble man, and bad him serve the Gods plentifully, and not offer Incense miserably. Mahumet born in Arabia.This is that Countrey wherein Mahumet was borne, who being of meane parentage, was brought up in his youth in the trade of Merchandize; but afterward joyning himselfe with Theeves and Robbers, his life was to rob such Merchants as passed thorow Arabia;",76,1,commercial_exchange,"merchants, ship","had taken arabia, and had possession thereof, hee sent a load of frankincense to the noble man, and bad him serve the gods plentifully, and not offer incense miserably. mahumet born in arabia.this is that countrey wherein mahumet was borne, who being of meane parentage, was brought up in his youth in the of merchandize; but afterward joyning himselfe with theeves and robbers, his life was to rob such as passed thorow arabia;",test,occupation_or_craft,0.5066380031270681
6131,A71305:12972,trade,A71305.txt,12972,1,trade,409,414,minute be a very fair river and one of the most principal which we see in that country stretch in east and east and by south this night about one of the clock we come to the patience lie in the king ford.,Sunday the six and twenty master Andrew Barker and our merchant master wilkinson with other of the company be in conference about return home because that since our master be slay none of the savage will trade with we as they be wont Wednesday the nine and twenty we be likewise occupy about take in of ballast for our ship be very light and that evening it be agree that Andrew Barker master of the hearts-ease shall go master of,the patience William Huntrice master of the hearts-ease which be sore against the mind of William Gourd^n and William Huntrice be appoint master of the hearts-ease and John garte^^y one of the quarter master of the patience be master mate of the hearts-ease Tuesday the four of August in the morning the wind be northerly a very small gale we get to sea where the wind come to the southward and we tack sometime on the one board they come,minute be a very fair river and one of the most principal which we see in that country stretch in east and east and by south this night about one of the clock we come to the patience lie in the king ford. Sunday the six and twenty master Andrew Barker and our merchant master wilkinson with other of the company be in conference about return home because that since our master be slay none of the savage will trade with we as they be wont Wednesday the nine and twenty we be likewise occupy about take in of ballast for our ship be very light and that evening it be agree that Andrew Barker master of the hearts-ease shall go master of the patience William Huntrice master of the hearts-ease which be sore against the mind of William Gourd^n and William Huntrice be appoint master of the hearts-ease and John garte^^y one of the quarter master of the patience be master mate of the hearts-ease Tuesday the four of August in the morning the wind be northerly a very small gale we get to sea where the wind come to the southward and we tack sometime on the one board they come,203,3,commercial_exchange,"company, merchant, ship",minute be a very fair river and one of the most principal which we see in that country stretch in east and east and by south this night about one of the clock we come to the patience lie in the king ford. sunday the six and twenty master andrew barker and our master wilkinson with other of the be in conference about return home because that since our master be slay none of the savage will with we as they be wont wednesday the nine and twenty we be likewise occupy about take in of ballast for our be very light and that evening it be agree that andrew barker master of the hearts-ease shall go master of the patience william huntrice master of the hearts-ease which be sore against the mind of william gourd^n and william huntrice be appoint master of the hearts-ease and john garte^^y one of the quarter master of the patience be master mate of the hearts-ease tuesday the four of august in the morning the wind be northerly a very small gale we get to sea where the wind come to the southward and we tack sometime on the one board they come,test,occupation_or_craft,0.5074791981365468
4029,A13172:9905,trade,A13172.txt,9905,1,trade,98,103,"Long he hath bene a spie, and pensioner of the king of Spaine.","But now perceiuing belike that the trade is become odious, & groweth out of request, he is turned Masse priest, and set to sing for the soules of his friends, after thrée farthings a Masse.","And least he might forget his old art of spiery, he is now set to spy for his holy father, if by any good aduenture he can sée Christs true body lurking vnder the accidents of the Masse-cake, his bloud by a necessary concomitance, as they say, being not farre off.","Long he hath bene a spie, and pensioner of the king of Spaine. But now perceiuing belike that the trade is become odious, & groweth out of request, he is turned Masse priest, and set to sing for the soules of his friends, after thrée farthings a Masse. And least he might forget his old art of spiery, he is now set to spy for his holy father, if by any good aduenture he can sée Christs true body lurking vnder the accidents of the Masse-cake, his bloud by a necessary concomitance, as they say, being not farre off.",99,2,occupation_or_craft,art,"long he hath bene a spie, and pensioner of the king of spaine. but now perceiuing belike that the is become odious, & groweth out of request, he is turned masse priest, and set to sing for the soules of his friends, after thrée farthings a masse. and least he might forget his old of spiery, he is now set to spy for his holy father, if by any good aduenture he can sée christs true body lurking vnder the accidents of the masse-cake, his bloud by a necessary concomitance, as they say, being not farre off.",test,commercial_exchange,0.5109253886691352
6223,A71306:7653,trade,A71306.txt,7653,1,trade,605,610,and because chavalier be desirous to voyage upon the coast of the french Bay gather some bever he send he in a small bark to the river of saint John call by the savage and to the i will saint croix and he the say de poutrincourt go in a shallop to the copper i I be of the say chevalier his voyage we cross the french bay to go to the say river where as soon as we arrive,half a dozen salmon new take salmon be bring to we we sojourn there four day during which we go into the cabin of Sagamos Chkoudun where we see some eighty or a hundred savage all naked except their assembly of savage a feast filthy trade privy member which be a make tabagy that be to say a banquet with the meal that the say chevalier have truck with they for their old skin full of louse the town of,Ouigoudi so I call the dwell of the say Chkoudun be a great enclosure upon a hill compass about with high and small tree tie one against another and within it many cabin great and small one of which be as great as a market hall wherein many household retire themselves and as for the same where they make their tabagie it be somewhat less a good part of the say savage be of Gachepe which be the begin of,and because chavalier be desirous to voyage upon the coast of the french Bay gather some bever he send he in a small bark to the river of saint John call by the savage and to the i will saint croix and he the say de poutrincourt go in a shallop to the copper i I be of the say chevalier his voyage we cross the french bay to go to the say river where as soon as we arrive half a dozen salmon new take salmon be bring to we we sojourn there four day during which we go into the cabin of Sagamos Chkoudun where we see some eighty or a hundred savage all naked except their assembly of savage a feast filthy trade privy member which be a make tabagy that be to say a banquet with the meal that the say chevalier have truck with they for their old skin full of louse the town of Ouigoudi so I call the dwell of the say Chkoudun be a great enclosure upon a hill compass about with high and small tree tie one against another and within it many cabin great and small one of which be as great as a market hall wherein many household retire themselves and as for the same where they make their tabagie it be somewhat less a good part of the say savage be of Gachepe which be the begin of,240,0,commercial_exchange,market,and because chavalier be desirous to voyage upon the coast of the french bay gather some bever he send he in a small bark to the river of saint john call by the savage and to the i will saint croix and he the say de poutrincourt go in a shallop to the copper i i be of the say chevalier his voyage we cross the french bay to go to the say river where as soon as we arrive half a dozen salmon new take salmon be bring to we we sojourn there four day during which we go into the cabin of sagamos chkoudun where we see some eighty or a hundred savage all naked except their assembly of savage a feast filthy privy member which be a make tabagy that be to say a banquet with the meal that the say chevalier have truck with they for their old skin full of louse the town of ouigoudi so i call the dwell of the say chkoudun be a great enclosure upon a hill compass about with high and small tree tie one against another and within it many cabin great and small one of which be as great as a hall wherein many household retire themselves and as for the same where they make their tabagie it be somewhat less a good part of the say savage be of gachepe which be the begin of,test,occupation_or_craft,0.5121496339657786
7722,Wealth_Nations:39063,trade,Wealth_Nations.txt,39063,1,trade,74,79,When a tax is imposed upon the profits of stock in a particular branch of,"trade, the traders are all careful to bring no more goods to market than",what they can sell at a price sufficient to reimburse them from advancing,"When a tax is imposed upon the profits of stock in a particular branch of trade, the traders are all careful to bring no more goods to market than what they can sell at a price sufficient to reimburse them from advancing",42,3,commercial_exchange,"goods, market, price","when a tax is imposed upon the profits of stock in a particular branch of , the traders are all careful to bring no more to than what they can sell at a sufficient to reimburse them from advancing",test,occupation_or_craft,0.5158665099466552
6346,A71306:11097,trade,A71306.txt,11097,1,trade,521,526,best fecibility and accomplish this noble work but I be only a freeman no counsellor of that plantation and have neither land there nor other adventure therein but this of my love and credit which with the allegiance to my sovereign and desire of the public good of this kingdom be more to i then all the treasure of America I seek the good and not the good of England and Virginia I follow the hand of God which have,give England so many right in Virginia right natural right national right by first discovery by accept trade by possession surrender voluntary continue constant right by gift by birth by bargain and sale by session by forfeiture in that late damnable treachery and massacre and the fatal possession take by so many murder English God bounty before his justice now have give we Virginia that we shall so in judgement remember mercy as to give Virginia again to God in,christian acknowledgement of his goodness and the conclusion mercy of his word and work and in our own more serious conversion to prepare that of Virginia God go before we in make this design honourable to religion to humanity to our ancestor to our king to our kingdom God go before we and have give Virginia so rich a portion to allure and assure our love in multiply our people and thereby our necessity enforce a vent in endow Virginia,best fecibility and accomplish this noble work but I be only a freeman no counsellor of that plantation and have neither land there nor other adventure therein but this of my love and credit which with the allegiance to my sovereign and desire of the public good of this kingdom be more to i then all the treasure of America I seek the good and not the good of England and Virginia I follow the hand of God which have give England so many right in Virginia right natural right national right by first discovery by accept trade by possession surrender voluntary continue constant right by gift by birth by bargain and sale by session by forfeiture in that late damnable treachery and massacre and the fatal possession take by so many murder English God bounty before his justice now have give we Virginia that we shall so in judgement remember mercy as to give Virginia again to God in christian acknowledgement of his goodness and the conclusion mercy of his word and work and in our own more serious conversion to prepare that of Virginia God go before we in make this design honourable to religion to humanity to our ancestor to our king to our kingdom God go before we and have give Virginia so rich a portion to allure and assure our love in multiply our people and thereby our necessity enforce a vent in endow Virginia,240,3,occupation_or_craft,"follow, work",best fecibility and accomplish this noble but i be only a freeman no counsellor of that plantation and have neither land there nor other adventure therein but this of my love and credit which with the allegiance to my sovereign and desire of the public good of this kingdom be more to i then all the treasure of america i seek the good and not the good of england and virginia i the hand of god which have give england so many right in virginia right natural right national right by first discovery by accept by possession surrender voluntary continue constant right by gift by birth by bargain and sale by session by forfeiture in that late damnable treachery and massacre and the fatal possession take by so many murder english god bounty before his justice now have give we virginia that we shall so in judgement remember mercy as to give virginia again to god in christian acknowledgement of his goodness and the conclusion mercy of his word and and in our own more serious conversion to prepare that of virginia god go before we in make this design honourable to religion to humanity to our ancestor to our king to our kingdom god go before we and have give virginia so rich a portion to allure and assure our love in multiply our people and thereby our necessity enforce a vent in endow virginia,test,commercial_exchange,0.5169219783287121
7662,Wealth_Nations:33801,trade,Wealth_Nations.txt,33801,1,trade,122,127,"It ought to be observed, that in the trade which the South Sea company","carried on by means of their annual ship, the only trade by which it ever","was expected that they could make any considerable profit, they were not","It ought to be observed, that in the trade which the South Sea company carried on by means of their annual ship, the only trade by which it ever was expected that they could make any considerable profit, they were not",41,2,commercial_exchange,"company, ship","it ought to be observed, that in the which the south sea carried on by means of their annual , the only by which it ever was expected that they could make any considerable profit, they were not",test,occupation_or_craft,0.518181898802004
5141,A68617:10738,trade,A68617.txt,10738,1,trade,453,458,3 difference betwixt the hollander still themselves English the javan and other thing remarkable about this time also there be much fall out between the fleming and the country people by mean of the rude behaviour of the fleming and many of they be stab in the evening and at that time the common people know not we from the fleming for both they and we be call by the name of englishman by reason of their usurp our name,at their first come thither to trade wherein they do our nation much wrong for we be ever ashamed of their behaviour and as we pass along the street we may hear the people in the market rail and exclaim on the english man although they mean the hollander wherefore hollander call themselves English in the indies and so disgrace we Novemb.,17.,3 difference betwixt the hollander still themselves English the javan and other thing remarkable about this time also there be much fall out between the fleming and the country people by mean of the rude behaviour of the fleming and many of they be stab in the evening and at that time the common people know not we from the fleming for both they and we be call by the name of englishman by reason of their usurp our name at their first come thither to trade wherein they do our nation much wrong for we be ever ashamed of their behaviour and as we pass along the street we may hear the people in the market rail and exclaim on the english man although they mean the hollander wherefore hollander call themselves English in the indies and so disgrace we Novemb. 17.,143,3,commercial_exchange,market,3 difference betwixt the hollander still themselves english the javan and other thing remarkable about this time also there be much fall out between the fleming and the country people by mean of the rude behaviour of the fleming and many of they be stab in the evening and at that time the common people know not we from the fleming for both they and we be call by the name of englishman by reason of their usurp our name at their first come thither to wherein they do our nation much wrong for we be ever ashamed of their behaviour and as we pass along the street we may hear the people in the rail and exclaim on the english man although they mean the hollander wherefore hollander call themselves english in the indies and so disgrace we novemb. 17.,test,occupation_or_craft,0.5202551475291233
