occurrence_id,context_id,selected_word,source_file,sentence_index,match_index_in_sentence,target_text,target_start,target_end,previous_sentence,sentence_text,next_sentence,context,context_word_count
458,A03065:5814,trade,A03065.txt,5814,1,trade,96,101,Scorpion of Cashan sting thee) is frequent among them.,"The people are orderly and more giuen to trade, then in some",greater Townes about her.,"Scorpion of Cashan sting thee) is frequent among them. The people are orderly and more giuen to trade, then in some greater Townes about her.",25
510,A03207:24426,trade,A03207.txt,24426,1,trade,86,91,And this of his execrable Art was the miserable end.,"Now of those Iuglers that make a trade and profession thereof, and do sell their trickes for money, there are diuers examples.","Of one Zito a Bohomian,Zito the Bohemian a cu^ning Iugler.","And this of his execrable Art was the miserable end. Now of those Iuglers that make a trade and profession thereof, and do sell their trickes for money, there are diuers examples. Of one Zito a Bohomian,Zito the Bohemian a cu^ning Iugler.",42
867,A06128:63825,trade,A06128.txt,63825,1,trade,124,129,the feastivall Floralia is celebrated.,"Now this Flora was a famous courtizan or strumpet at Rome, who having by her whorish trade gathered a mightie deale of goods together, in her last will made the people of Rome her heire, with this condition, That every yeer they should celebrate the memoriall of her birth day.","But the Senate thinking this a ridiculous mockerie, to honour and dignifie so filthie a thing with such a remembrance, they devised a goddesse of floures forsooth, called Flora, and her upon those holydaies they seemed to please and content, that shee would be good to the growth of trees and corne, and that they might doe well in their flouring and blouming time.","the feastivall Floralia is celebrated. Now this Flora was a famous courtizan or strumpet at Rome, who having by her whorish trade gathered a mightie deale of goods together, in her last will made the people of Rome her heire, with this condition, That every yeer they should celebrate the memoriall of her birth day. But the Senate thinking this a ridiculous mockerie, to honour and dignifie so filthie a thing with such a remembrance, they devised a goddesse of floures forsooth, called Flora, and her upon those holydaies they seemed to please and content, that shee would be good to the growth of trees and corne, and that they might doe well in their flouring and blouming time.",119
1129,A06786:2435,trade,A06786.txt,2435,1,trade,366,371,"Pearles of all sorts are most found in the West-Indies, which are Occidentall,East-India Pearles.","and yet beare the name of Orientall Pearles which come from the East-Indies, and although they haue more lustre, they are of a brownish colour, and somewhat inclining to the yellow, and therefore of lesse estimation and price, which at the beginning of our East-India trade was as followeth.",ll.,"Pearles of all sorts are most found in the West-Indies, which are Occidentall,East-India Pearles. and yet beare the name of Orientall Pearles which come from the East-Indies, and although they haue more lustre, they are of a brownish colour, and somewhat inclining to the yellow, and therefore of lesse estimation and price, which at the beginning of our East-India trade was as followeth. ll.",64
1254,A06786:8876,trade,A06786.txt,8876,1,trade,206,211,"of his clothes, he causeth the same to be made ouer by Exchange for Venice, to be imployed there in Organsine silke, or other commodities to be sent for London.","These two Merchants (considering each others trade, and the aduenture of deliuering their moneys by Exchange to others beyond the seas, wherein they must trust their Factors or Seruants, or they must take vp the moneys by Exchange themselues with some disaduantage) do make an agreement and contract of Exchange betwene them, That A.",B.,"of his clothes, he causeth the same to be made ouer by Exchange for Venice, to be imployed there in Organsine silke, or other commodities to be sent for London. These two Merchants (considering each others trade, and the aduenture of deliuering their moneys by Exchange to others beyond the seas, wherein they must trust their Factors or Seruants, or they must take vp the moneys by Exchange themselues with some disaduantage) do make an agreement and contract of Exchange betwene them, That A. B.",85
1282,A06786:10594,trade,A06786.txt,10594,1,Trade,477,482,"THE precedent short commendation of Mother Wit, ministreth an occasion to enter into a retrograde consideration, how the course of Trade was managed heeretofore;","remembring in this particular the Prouerbiall speech, Nil nout sub Coelo, the rather for that so many good Acts of Parlement haue beene made, long since concerning the same, when the Staple of our commodities did flourish, both here and beyond the Seas, in the time of King Edward the third.The maintenance of ^ree Trade, Anno 1622.","And hauing of late published tenne causes of the decay of Trade, it may be thought conuenient to examine the same vpon the said points.","THE precedent short commendation of Mother Wit, ministreth an occasion to enter into a retrograde consideration, how the course of Trade was managed heeretofore; remembring in this particular the Prouerbiall speech, Nil nout sub Coelo, the rather for that so many good Acts of Parlement haue beene made, long since concerning the same, when the Staple of our commodities did flourish, both here and beyond the Seas, in the time of King Edward the third.The maintenance of ^ree Trade, Anno 1622. And hauing of late published tenne causes of the decay of Trade, it may be thought conuenient to examine the same vpon the said points.",106
1386,A06789:691,trade,A06789.txt,691,1,Trade,484,489,"The ninth Cause of the decay of Trade, areThe ninth cause of the decay of Trade, the warres, the Pirate, and Bankrupts.the Warres in Christendome, as also in other Countries out of the same, where our Cloth and Manufactures haue beene transported, increased by the daily losses sustained by Pirats, and continuall breaking of Merchants and Tradesmen;","all which is meerely Heterocliton or opposite to Traffique, and they concurre all in nature, to the interruption and ouerthrowing of Trade;","and this can neuer be diuerted, preuented, nor remedied, by selling our Clothes or Manufactures cheape, to vndersell other Nations, who meet with the said hinderances and interruptions as well as we doe, in the Trade of the Clothes made by them:","The ninth Cause of the decay of Trade, areThe ninth cause of the decay of Trade, the warres, the Pirate, and Bankrupts.the Warres in Christendome, as also in other Countries out of the same, where our Cloth and Manufactures haue beene transported, increased by the daily losses sustained by Pirats, and continuall breaking of Merchants and Tradesmen; all which is meerely Heterocliton or opposite to Traffique, and they concurre all in nature, to the interruption and ouerthrowing of Trade; and this can neuer be diuerted, preuented, nor remedied, by selling our Clothes or Manufactures cheape, to vndersell other Nations, who meet with the said hinderances and interruptions as well as we doe, in the Trade of the Clothes made by them:",121
2019,A10228(1):4571,trade,A10228(1).txt,4571,2,trade,205,210,p.,202 and therefore be make overseer of the business of Abdalmutalef his master or as some say his grandfather and trade for he in Soria Egypt and Persia and after his death inherit his good continue his trade of merchandise with a great man of Cotozan he succeed he in his bed and wealth by the marriage of his widow Gadisa who d d arab.,nob.,p. 202 and therefore be make overseer of the business of Abdalmutalef his master or as some say his grandfather and trade for he in Soria Egypt and Persia and after his death inherit his good continue his trade of merchandise with a great man of Cotozan he succeed he in his bed and wealth by the marriage of his widow Gadisa who d d arab. nob.,67
2273,A10231(1):21625,trade,A10231(1).txt,21625,1,trade,150,155,nic.,withington add they be negro woolly pated flat nosed fish whereof they have store thievish and swift run away with that which they have steal by trade with the dutch and english their price of thing be raise as you here see to some more copper or iron then at the first discovery their beast be large their sheep smooth and short haired not woolly like a young calf with long and broad ear hang like hound their horn short and tender easy break their tail great than any part of a man leg some weigh 40.,pound their beef be large and most of they lean the man have but one stone the other be cut away when they be young the reason seem to be some reasonless superstition towards the sun which they point unto be demand thereof the Hector bring thence one of these savage call Cory which be 10 10 Martin bring ben.,nic. withington add they be negro woolly pated flat nosed fish whereof they have store thievish and swift run away with that which they have steal by trade with the dutch and english their price of thing be raise as you here see to some more copper or iron then at the first discovery their beast be large their sheep smooth and short haired not woolly like a young calf with long and broad ear hang like hound their horn short and tender easy break their tail great than any part of a man leg some weigh 40. pound their beef be large and most of they lean the man have but one stone the other be cut away when they be young the reason seem to be some reasonless superstition towards the sun which they point unto be demand thereof the Hector bring thence one of these savage call Cory which be 10 10 Martin bring ben.,158
2544,A10821:62,trade,A10821.txt,62,1,Trade,145,150,"In the rest, I have (following the example of many Merchants) shewed the worst first, and the best last;","I meane declared the particulars of the Trade of America, as the least and worst knowne unto us;","then of Africa and Asia, and last of all Europe, as the best, and best knowne to us, and according to my Title included and concluded all, within the famous Ci∣tie of London where we abide, which ever with all grate∣fulnes as the place of my Education in the Art of Merchandi∣zing, I am obliged to honour.","In the rest, I have (following the example of many Merchants) shewed the worst first, and the best last; I meane declared the particulars of the Trade of America, as the least and worst knowne unto us; then of Africa and Asia, and last of all Europe, as the best, and best knowne to us, and according to my Title included and concluded all, within the famous Ci∣tie of London where we abide, which ever with all grate∣fulnes as the place of my Education in the Art of Merchandi∣zing, I am obliged to honour.",94
